Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","1990","1990","ha","3117.7373","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","1991","1991","ha","3117.7373","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","1992","1992","ha","3117.7373","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","1993","1993","ha","3117.7373","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","1994","1994","ha","3117.7373","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","1995","1995","ha","3117.7373","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","1996","1996","ha","3117.7373","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","1997","1997","ha","3117.7373","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","1998","1998","ha","3117.7373","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","1999","1999","ha","3117.7373","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","2000","2000","ha","3117.7373","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","2001","2001","ha","3116.9747","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","2002","2002","ha","3116.9747","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","2003","2003","ha","3116.9747","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","2004","2004","ha","3115.4454","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","2005","2005","ha","3115.4454","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","2006","2006","ha","3115.4454","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","2007","2007","ha","3115.4454","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","2008","2008","ha","3115.4454","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","2009","2009","ha","3115.4454","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","2010","2010","ha","3115.4454","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","2011","2011","ha","3115.4454","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","2012","2012","ha","3115.4454","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","2013","2013","ha","3113.8223","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","2014","2014","ha","3113.8223","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","2015","2015","ha","3112.199","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","2016","2016","ha","3112.199","Fc","Calculated data"
"GC","Cropland","3","Albania","5026","Area","6727","Cropland organic soils","2017","2017","ha","3112.199","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1990","1990","gigagrams","109.9785","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1991","1991","gigagrams","109.9785","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1992","1992","gigagrams","109.9785","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1993","1993","gigagrams","109.9785","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1994","1994","gigagrams","109.9785","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1995","1995","gigagrams","109.9785","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1996","1996","gigagrams","109.9785","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1997","1997","gigagrams","109.9785","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1998","1998","gigagrams","109.9785","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1999","1999","gigagrams","109.9785","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2000","2000","gigagrams","109.9785","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2001","2001","gigagrams","109.9505","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2002","2002","gigagrams","109.9505","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2003","2003","gigagrams","109.9505","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2004","2004","gigagrams","109.8944","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2005","2005","gigagrams","109.8944","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2006","2006","gigagrams","109.8944","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2007","2007","gigagrams","109.8944","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2008","2008","gigagrams","109.8944","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2009","2009","gigagrams","109.8944","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2010","2010","gigagrams","109.8944","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2011","2011","gigagrams","109.8944","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2012","2012","gigagrams","109.8944","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2013","2013","gigagrams","109.8349","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2014","2014","gigagrams","109.8349","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2015","2015","gigagrams","109.7754","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2016","2016","gigagrams","109.7754","Fc","Calculated data"
"GC","Cropland","3","Albania","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2017","2017","gigagrams","109.7754","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","1990","1990","ha","5851.6789","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","1991","1991","ha","5851.6789","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","1992","1992","ha","5851.6789","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","1993","1993","ha","5851.6789","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","1994","1994","ha","5851.6789","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","1995","1995","ha","5851.6789","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","1996","1996","ha","5851.6789","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","1997","1997","ha","5851.6789","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","1998","1998","ha","5851.6789","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","1999","1999","ha","5851.6789","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","2000","2000","ha","5851.6789","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","2001","2001","ha","5834.8085","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","2002","2002","ha","5834.8085","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","2003","2003","ha","5808.7552","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","2004","2004","ha","5808.7535","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","2005","2005","ha","5743.1117","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","2006","2006","ha","5720.042","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","2007","2007","ha","5720.042","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","2008","2008","ha","5684.4533","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","2009","2009","ha","5659.6373","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","2010","2010","ha","5651.3853","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","2011","2011","ha","5634.8063","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","2012","2012","ha","5634.8063","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","2013","2013","ha","5634.8063","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","2014","2014","ha","5614.0603","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","2015","2015","ha","5592.9753","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","2016","2016","ha","5592.9753","Fc","Calculated data"
"GC","Cropland","7","Angola","5026","Area","6727","Cropland organic soils","2017","2017","ha","5592.9753","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1990","1990","gigagrams","429.1231","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1991","1991","gigagrams","429.1231","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1992","1992","gigagrams","429.1231","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1993","1993","gigagrams","429.1231","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1994","1994","gigagrams","429.1231","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1995","1995","gigagrams","429.1231","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1996","1996","gigagrams","429.1231","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1997","1997","gigagrams","429.1231","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1998","1998","gigagrams","429.1231","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1999","1999","gigagrams","429.1231","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2000","2000","gigagrams","429.1231","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2001","2001","gigagrams","427.886","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2002","2002","gigagrams","427.886","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2003","2003","gigagrams","425.9754","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2004","2004","gigagrams","425.9753","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2005","2005","gigagrams","421.1615","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2006","2006","gigagrams","419.4697","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2007","2007","gigagrams","419.4697","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2008","2008","gigagrams","416.8599","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2009","2009","gigagrams","415.0401","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2010","2010","gigagrams","414.4349","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2011","2011","gigagrams","413.2191","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2012","2012","gigagrams","413.2191","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2013","2013","gigagrams","413.2191","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2014","2014","gigagrams","411.6978","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2015","2015","gigagrams","410.1515","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2016","2016","gigagrams","410.1515","Fc","Calculated data"
"GC","Cropland","7","Angola","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2017","2017","gigagrams","410.1515","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","1990","1990","ha","27514.8609","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","1991","1991","ha","27514.8609","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","1992","1992","ha","27514.8609","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","1993","1993","ha","27514.8609","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","1994","1994","ha","27514.8609","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","1995","1995","ha","27514.8609","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","1996","1996","ha","27514.8609","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","1997","1997","ha","27514.8609","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","1998","1998","ha","27514.8609","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","1999","1999","ha","27514.8609","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","2000","2000","ha","27514.8609","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","2001","2001","ha","27546.8429","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","2002","2002","ha","27632.8379","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","2003","2003","ha","27732.6533","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","2004","2004","ha","27780.2717","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","2005","2005","ha","27731.7845","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","2006","2006","ha","27749.9213","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","2007","2007","ha","27711.0479","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","2008","2008","ha","27810.557","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","2009","2009","ha","27789.4568","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","2010","2010","ha","27825.6752","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","2011","2011","ha","27963.9527","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","2012","2012","ha","27963.9527","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","2013","2013","ha","27945.9419","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","2014","2014","ha","27921.8267","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","2015","2015","ha","27921.8267","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","2016","2016","ha","27921.8267","Fc","Calculated data"
"GC","Cropland","9","Argentina","5026","Area","6727","Cropland organic soils","2017","2017","ha","27921.8267","Fc","Calculated data"
"GC","Cropland","9","Argentina","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1990","1990","gigagrams","1579.379","Fc","Calculated data"
"GC","Cropland","9","Argentina","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1991","1991","gigagrams","1579.379","Fc","Calculated data"
"GC","Cropland","9","Argentina","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1992","1992","gigagrams","1579.379","Fc","Calculated data"
"GC","Cropland","9","Argentina","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1993","1993","gigagrams","1579.379","Fc","Calculated data"
"GC","Cropland","9","Argentina","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1994","1994","gigagrams","1579.379","Fc","Calculated data"
"GC","Cropland","9","Argentina","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1995","1995","gigagrams","1579.379","Fc","Calculated data"
"GC","Cropland","9","Argentina","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1996","1996","gigagrams","1579.379","Fc","Calculated data"
"GC","Cropland","9","Argentina","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1997","1997","gigagrams","1579.379","Fc","Calculated data"
"GC","Cropland","9","Argentina","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1998","1998","gigagrams","1579.379","Fc","Calculated data"
"GC","Cropland","9","Argentina","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","1999","1999","gigagrams","1579.379","Fc","Calculated data"
"GC","Cropland","9","Argentina","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2000","2000","gigagrams","1579.379","Fc","Calculated data"
"GC","Cropland","9","Argentina","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2001","2001","gigagrams","1584.1945","Fc","Calculated data"
"GC","Cropland","9","Argentina","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2002","2002","gigagrams","1590.9977","Fc","Calculated data"
"GC","Cropland","9","Argentina","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2003","2003","gigagrams","1598.8156","Fc","Calculated data"
"GC","Cropland","9","Argentina","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2004","2004","gigagrams","1602.802","Fc","Calculated data"
"GC","Cropland","9","Argentina","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2005","2005","gigagrams","1598.9166","Fc","Calculated data"
"GC","Cropland","9","Argentina","72170","Net emissions/removal (CO2eq) (Cropland)","6727","Cropland organic soils","2006","2006","gigagrams","1600.2466","Fc","Calculated data"
