Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GG","Grassland","3","Albania","5026","Area","6728","Grassland organic soils","1990","1990","ha","752.147","Fc","Calculated data"
"GG","Grassland","3","Albania","5026","Area","6728","Grassland organic soils","1991","1991","ha","752.147","Fc","Calculated data"
"GG","Grassland","3","Albania","5026","Area","6728","Grassland organic soils","1992","1992","ha","752.147","Fc","Calculated data"
"GG","Grassland","3","Albania","5026","Area","6728","Grassland organic soils","1993","1993","ha","752.147","Fc","Calculated data"
"GG","Grassland","3","Albania","5026","Area","6728","Grassland organic soils","1994","1994","ha","752.147","Fc","Calculated data"
"GG","Grassland","3","Albania","5026","Area","6728","Grassland organic soils","1995","1995","ha","752.147","Fc","Calculated data"
"GG","Grassland","3","Albania","5026","Area","6728","Grassland organic soils","1996","1996","ha","752.147","Fc","Calculated data"
"GG","Grassland","3","Albania","5026","Area","6728","Grassland organic soils","1997","1997","ha","752.147","Fc","Calculated data"
"GG","Grassland","3","Albania","5026","Area","6728","Grassland organic soils","1998","1998","ha","752.147","Fc","Calculated data"
"GG","Grassland","3","Albania","5026","Area","6728","Grassland organic soils","1999","1999","ha","752.147","Fc","Calculated data"
"GG","Grassland","3","Albania","5026","Area","6728","Grassland organic soils","2000","2000","ha","752.147","Fc","Calculated data"
"GG","Grassland","3","Albania","5026","Area","6728","Grassland organic soils","2001","2001","ha","752.6236","Fc","Calculated data"
"GG","Grassland","3","Albania","5026","Area","6728","Grassland organic soils","2002","2002","ha","752.6236","Fc","Calculated data"
"GG","Grassland","3","Albania","5026","Area","6728","Grassland organic soils","2003","2003","ha","752.6236","Fc","Calculated data"
"GG","Grassland","3","Albania","5026","Area","6728","Grassland organic soils","2004","2004","ha","751.0943","Fc","Calculated data"
"GG","Grassland","3","Albania","5026","Area","6728","Grassland organic soils","2005","2005","ha","751.0943","Fc","Calculated data"
